CUSTOMER_ID,TRANSACTION_TIME,AMOUNT,PRODUCT_CATEGORY,CHANNEL
CUST_00001,2024-10-09 10:19:17.000,129.75,Groceries,mobile
CUST_00001,2025-09-10 18:58:01.000,79.14,Groceries,in-store
CUST_00001,2025-12-20 07:27:48.000,175.73,Groceries,in-store
CUST_00001,2024-08-21 13:44:52.000,185.56,Health & Beauty,in-store
CUST_00001,2025-11-21 09:41:39.000,556.37,Electronics,in-store
CUST_00001,2025-11-30 15:06:36.000,198.48,Groceries,in-store
CUST_00001,2024-08-23 17:30:32.000,97.60,Apparel,in-store
CUST_00001,2025-09-13 18:17:43.000,284.89,Apparel,mobile
CUST_00001,2024-11-02 11:35:21.000,181.11,Groceries,web
CUST_00001,2024-07-16 00:50:32.000,640.35,Home & Garden,mobile
CUST_00001,2024-11-23 10:36:06.000,125.27,Home & Garden,in-store
CUST_00001,2025-07-01 16:05:43.000,152.69,Health & Beauty,mobile
CUST_00001,2024-12-13 14:24:22.000,89.14,Health & Beauty,in-store
CUST_00001,2025-07-26 10:16:36.000,147.84,Health & Beauty,in-store
CUST_00001,2024-12-15 06:03:08.000,1365.85,Electronics,web
CUST_00001,2024-08-27 16:10:19.000,92.58,Health & Beauty,web
CUST_00001,2024-07-07 09:46:35.000,570.06,Home & Garden,web
CUST_00001,2024-07-29 05:23:21.000,146.59,Health & Beauty,web
CUST_00001,2025-04-29 03:44:27.000,51.56,Health & Beauty,in-store
CUST_00001,2024-10-10 14:12:05.000,38.21,Health & Beauty,in-store
CUST_00001,2025-09-24 23:32:16.000,76.63,Health & Beauty,in-store
CUST_00001,2025-03-31 20:11:02.000,1282.97,Electronics,in-store
CUST_00001,2025-09-26 20:29:24.000,391.71,Home & Garden,in-store
CUST_00001,2024-09-04 06:08:21.000,336.31,Apparel,web
CUST_00001,2025-09-16 01:56:40.000,422.06,Apparel,in-store
CUST_00001,2024-12-22 16:22:36.000,199.47,Groceries,in-store
CUST_00001,2025-04-10 17:47:47.000,159.58,Apparel,in-store
CUST_00001,2025-05-07 23:41:55.000,243.13,Health & Beauty,mobile
CUST_00001,2025-10-31 12:05:08.000,890.23,Electronics,mobile
CUST_00001,2025-08-12 15:26:12.000,775.00,Electronics,in-store
CUST_00001,2025-07-17 20:39:20.000,247.23,Health & Beauty,mobile
CUST_00001,2025-09-08 01:22:47.000,528.24,Home & Garden,in-store
CUST_00001,2025-11-10 19:59:10.000,608.05,Home & Garden,in-store
CUST_00001,2024-07-02 18:36:56.000,183.85,Groceries,in-store
CUST_00001,2025-05-19 11:43:30.000,182.30,Groceries,web
CUST_00001,2024-08-26 16:55:59.000,584.43,Home & Garden,in-store
CUST_00001,2025-02-28 10:14:01.000,239.11,Apparel,in-store
CUST_00001,2025-09-15 07:51:22.000,136.52,Electronics,in-store
CUST_00001,2024-10-20 23:37:37.000,187.79,Apparel,mobile
CUST_00001,2025-08-05 15:29:04.000,186.22,Groceries,in-store
CUST_00001,2025-03-30 13:50:55.000,394.53,Home & Garden,mobile
CUST_00001,2025-03-21 02:50:22.000,451.10,Home & Garden,in-store
CUST_00001,2025-05-27 23:01:10.000,155.43,Home & Garden,mobile
CUST_00001,2025-04-03 01:11:55.000,1196.89,Electronics,in-store
CUST_00001,2024-12-14 16:57:33.000,49.89,Groceries,mobile
CUST_00001,2025-12-03 04:02:37.000,369.88,Home & Garden,mobile
CUST_00001,2024-12-17 11:14:59.000,438.69,Home & Garden,mobile
CUST_00001,2025-04-17 18:07:53.000,154.12,Health & Beauty,in-store
CUST_00001,2025-01-09 02:55:36.000,48.04,Home & Garden,web
CUST_00001,2025-11-23 15:35:11.000,254.13,Health & Beauty,in-store
CUST_00001,2025-07-24 03:39:00.000,128.56,Groceries,web
CUST_00001,2025-03-09 02:53:02.000,50.18,Apparel,mobile
CUST_00001,2025-05-18 06:33:58.000,350.67,Apparel,mobile
CUST_00001,2024-10-16 05:17:55.000,165.13,Home & Garden,web
CUST_00001,2025-05-23 08:32:29.000,631.08,Home & Garden,web
CUST_00001,2025-04-23 09:10:08.000,94.55,Apparel,mobile
